Bedrooms,Bathrooms,Address,Land area,CV,Latitude,Longitude,SA1,0-19 years,20-29 years,30-39 years,40-49 years,50-59 years,60+ years,Suburbs
3,1,"3/22 Mainston Road Remuera, Auckland",685,1260000,-36.8829671,174.8121224,7006096,48,24,24,39,27,27,Remuera
4,2,"16a Mainston Road Remuera, Auckland",214,1360000,-36.8832505,174.811194,7006096,48,24,24,39,27,27,Remuera
3,1,"12 Kaiwaka Road Waiuku, Auckland",1445,640000,-37.257248,174.7348917,7010436,54,15,21,24,24,36,Waiuku
6,3,"39 Hilltop Road Flat Bush, Auckland",622,1150000,-36.9865073,174.9049914,7008990,60,45,42,33,24,18,Flat Bush
5,4,"15 Lammermoore Drive St Heliers, Auckland",1998,7000000,-36.863985,174.8519671,7006417,51,27,9,21,42,51,St Heliers
5,4,"35 Lammermoor Drive St Heliers, Auckland",818,3600000,-36.862909,174.8510837,7006417,51,27,9,21,42,51,St Heliers
4,3,"Lot 2/10 Whitmore Road Mount Roskill, Auckland",399,1175000,-36.9257759,174.7458394,7007739,66,57,63,24,33,54,Mount Roskill
8,4,"30 Florence Daly Place, Auckland",990 m²,1250000,-36.9264921,174.7481298,7007739,66,57,63,24,33,54,Mount Roskill
5,3,"671 Richardson Road, Auckland",842 m²,1125000,-36.9254157,174.7467049,7007739,66,57,63,24,33,54,Mount Roskill
3,1,"55 Rathgar Road Henderson, Auckland",875,835000,-36.8674833,174.6213107,7003862,54,30,27,27,15,21,Henderson
3,1,"61a Wairiki Road Mount Eden, Auckland",406,1450000,-36.8895914,174.7520841,7005203,36,27,21,27,12,24,Mount Eden
3,2,"3/69 St Stephens Avenue Parnell, Auckland",187,2750000,-36.8555113,174.7883809,7005662,42,24,27,27,21,57,Parnell
3,2,"16a O'halloran Road Howick, Auckland",402,1050000,-36.8938517,174.9226202,7006905,21,18,3,15,15,24,Howick
2,1,"1/10 Grantham Road Papatoetoe, Auckland",71,560000,-36.9795206,174.8792121,7008768,33,21,21,18,12,21,Papatoetoe
4,1,"62 Kivell Close Mangere, Auckland",690,650000,-36.9647889,174.8096399,7008118,69,15,27,30,15,12,Mangere East
3,1,"4 Atkinson Avenue Papatoetoe, Auckland",825,765000,-36.9922906,174.858979,7009405,30,30,12,12,3,6,Papatoetoe
4,1,"16 Ririno Place Manurewa, Auckland",818,550000,-37.028742,174.8752312,7009580,84,39,33,27,21,24,Manurewa
3,1,"5a Clarice Place Takanini, Auckland",90,490000,-37.0379661,174.9289185,7010014,75,36,24,30,24,24,Takanini
3,1,"34 Beaubank Road Kelston, Auckland",842,830000,-36.8972398,174.6707393,7004279,54,24,24,27,33,24,Kelston
4,2,"1102 Whangaparaoa Road Tindalls Beach, Auckland",761,1575000,-36.618976,174.7738847,7001676,30,6,15,12,18,30,Tindalls Beach
2,1,"1102a Whangaparaoa Road Tindalls Beach, Auckland",755,960000,-36.618976,174.7738847,7001676,30,6,15,12,18,30,Tindalls Beach
3,1,"680 Great North Road Grey Lynn, Auckland",602,1550000,-36.864797,174.7334589,7004943,21,54,33,21,15,24,Grey Lynn
3,1,"36 Japonica Drive Beach Haven, Auckland",658,695000,-36.7950265,174.6939984,7002434,48,15,12,18,15,9,Beach Haven
5,2,"8 Meyrick Place Meadowbank, Auckland",880,1875000,-36.8703363,174.8294094,7006191,21,9,12,15,18,27,Meadowbank
4,3,"7-9 Glen Atkinson Street St Heliers, Auckland",1750,6500000,-36.8661752,174.8497796,7006420,42,21,12,21,39,39,St Heliers
4,3,"43 Glen Atkinson Street, Auckland",1531 m²,3550000,-36.8671212,174.8476095,7006420,42,21,12,21,39,39,St Heliers
3,1,"13 Wordsworth Road Manurewa, Auckland",675,540000,-37.0267161,174.8845362,7009670,72,36,24,18,15,18,Manurewa
2,1,"10 Bay Road Palm Beach, Auckland",921,920000,-36.7849858,175.0462789,7003374,30,15,9,24,15,30,Ostend
4,4,"251 Harbourside Drive Karaka, Auckland",567,1750000,-37.062185,174.9214206,7009990,33,12,15,21,18,30,Karaka
4,2,"117 Celtic Crescent Ellerslie, Auckland",607,1300000,-36.8883434,174.8198618,7006114,42,12,36,24,12,33,Ellerslie
4,1,"22 Pigeon Mountain Road Half Moon Bay, Auckland",1014,2550000,-36.8851289,174.9011172,7006814,54,9,18,30,36,51,Half Moon Bay
4,3,"69 Prince Regent Drive Half Moon Bay, Auckland",734,1350000,-36.8891292,174.8953588,7006723,51,21,18,30,21,21,Half Moon Bay
5,4,"10 Mantis Lane Hobsonville, Auckland",336,545000,-36.8013291,174.666149,7002304,33,30,24,15,12,18,Hobsonville
5,3,"2a Landette Road Manurewa, Auckland",244,2325000,-37.0310912,174.8725122,7009582,90,33,24,21,21,3,Manurewa
4,2,"532 Chapel Road East Tamaki, Auckland",594,1100000,-36.939972,174.9131935,7009039,33,18,15,27,12,21,East Tamaki
4,2,"90 Aroha Avenue Sandringham, Auckland",784,1825000,-36.8785526,174.736405,7004975,27,66,72,30,12,18,Sandringham
5,3,"27 Margaret Road Papatoetoe, Auckland",202,1450000,-36.988449,174.8447708,7009388,63,39,36,9,15,6,Papatoetoe
4,2,"18a Manawa Road Remuera, Auckland",469,1725000,-36.8678378,174.8023597,7005966,45,30,15,24,21,27,Remuera
3,1,"18 Serrita Avenue Sunnyhills, Auckland",690,1150000,-36.89801,174.8906954,7006699,45,12,15,33,12,15,Sunnyhills
3,2,"A1/27-29 Towai Street St Heliers, Auckland",238,2450000,-36.8570908,174.8502488,7006413,36,18,9,21,27,66,St Heliers
3,2,"47 Milano Boulevard Karaka, Auckland",1191,2100000,-37.0651329,174.9140949,7009923,30,18,18,21,27,30,Karaka
4,3,"69 Milano Boulevard Karaka, Auckland",572,1550000,-37.0661056,174.9123718,7009923,30,18,18,21,27,30,Karaka
2,1,"2322 State Highway 16 Helensville, Auckland",5210,730000,-36.6792597,174.4379383,7001365,39,24,18,24,27,30,Helensville
4,2,"12 Williams Road Hobsonville, Auckland",450,1125000,-36.8005504,174.6451824,7002271,12,12,9,6,9,75,Hobsonville
4,2,"1/90 Maich Road Manurewa, Auckland",130,650000,-37.0144149,174.8894841,7009644,78,42,39,24,24,21,Manurewa
3,1,"1/662 East Coast Road Pinehill, Auckland",81,830000,-36.7285787,174.7302464,7002686,36,36,33,27,27,30,Pinehill
2,1,"1a Rewiti Street Orakei, Auckland",84,1060000,-36.8551765,174.8129967,7005958,15,27,12,6,30,27,Orakei
4,2,"1 Kingsgate Place Dannemora, Auckland",417,1325000,-36.9229517,174.9228485,7009157,15,9,15,3,15,483,Dannemora
3,1,"7 Portrush Lane Takanini, Auckland",361,600000,-37.0383231,174.916708,7009911,51,36,24,18,6,18,Takanini
4,2,"318 Sea View Road Onetangi, Auckland",5175,2300000,-36.7827438,175.0620241,7003376,39,21,15,30,24,60,Ostend
5,2,"13b Maioro Street New Windsor, Auckland",174,1090000,-36.9074439,174.7156062,7004673,36,36,27,12,15,27,New Windsor
6,4,"460 Union Road Pukekohe, Auckland",465,2075000,-37.2012727,174.8158397,7010456,42,15,18,27,21,33,Mauku
3,1,"2/6 Woodside Road Manurewa, Auckland",110,530000,-37.0254779,174.899302,7009794,54,33,27,27,12,12,Manurewa
5,3,"1 Kumar Place The Gardens, Auckland",589,1130000,-37.0083849,174.9171628,7009942,48,36,27,21,27,24,The Gardens
4,2,"200b Old Titirangi Road Titirangi, Auckland",451,835000,-36.9209739,174.6637504,7007315,42,21,21,24,21,21,Titirangi
6,3,"21 Mull Place Wattle Downs, Auckland",1265,1690000,-37.0491615,174.8942459,7009717,42,21,18,15,12,42,Wattle Downs
3,1,"12 Talavera Place Te Atatu South, Auckland",100,612000,-36.8807816,174.6550089,7004150,48,24,39,21,24,33,Te Atatu South
5,3,"25 Cunliffe Place Glenfield, Auckland",1405,1100000,-36.7768757,174.717903,7002619,54,54,42,21,27,30,Glenfield
2,1,"1/68 Ireland Road Panmure, Auckland",70,510000,-36.907873,174.8431008,7008326,36,42,36,30,12,15,Mount Wellington
5,3,"92a East Tamaki Road Papatoetoe, Auckland",536,980000,-36.9657304,174.864446,7008619,45,24,30,15,18,6,Papatoetoe
5,2,"28 Entrican Avenue Remuera, Auckland",819,3075000,-36.8794045,174.8069828,7005989,30,9,6,24,24,18,Remuera
4,2,"8 Springtide Place Red Beach, Auckland",612,1000000,-36.6088334,174.6836301,7001514,48,3,12,33,15,24,Red Beach
5,4,"16 Kilcooley Road Flat Bush, Auckland",354,1275000,-36.9670344,174.9359253,7009309,108,63,93,63,30,51,Flat Bush
2,1,"3/15 Nihill Crescent Mission Bay, Auckland",85,740000,-36.8520455,174.8302353,7006171,18,18,9,15,18,36,Mission Bay
4,4,"10 Codrington Crescent Mission Bay, Auckland",827,5300000,-36.8530087,174.8295425,7006171,18,18,9,15,18,36,Mission Bay
5,3,"19 Takitimu Street Orakei, Auckland",479,2550000,-36.8538322,174.8225897,7006159,54,18,15,15,21,27,Orakei
4,3,"42 Marua Road Ellerslie, Auckland",277,1725000,-36.8898532,174.8164588,7006118,48,33,48,30,18,27,Ellerslie
4,3,"3c The Rise St Heliers, Auckland",543,3500000,-36.8462688,174.8650988,7006474,66,18,30,33,39,45,St Heliers
3,2,"4 Springcombe Road, Auckland",449 m²,3100000,-36.8463819,174.8625265,7006474,66,18,30,33,39,45,St Heliers
1,1,"2/37 Mahia Road Manurewa, Auckland",70,445000,-37.0391848,174.8809426,7009597,120,42,42,27,27,33,Weymouth
2,2,"1164 Huia Road Huia, Auckland",809,750000,-37.0030833,174.573895,7007109,84,21,45,54,51,60,Huia
3,2,"22a Puriri Avenue Greenlane, Auckland",130,1575000,-36.89294,174.7940427,7005883,57,30,30,30,33,21,Greenlane
4,2,"537 Hillsborough Road Mount Roskill, Auckland",1055,1500000,-36.9278156,174.7295621,7007629,51,33,27,27,21,39,Mount Roskill
4,2,"112 Albany Heights Albany, Auckland",11759,1700000,-36.7114221,174.6833272,7001807,18,9,9,9,21,15,Albany Heights
2,2,"30 Bel Air Drive Hillsborough, Auckland",1051,1275000,-36.9191465,174.7643573,7007771,24,33,24,15,21,15,Hillsborough
4,1,"7 Tiari Place Mangere, Auckland",566,660000,-36.9726318,174.8268317,7008296,78,39,33,27,30,21,Mangere East
3,1,"362 Blockhouse Bay Road Blockhouse Bay, Auckland",919,640000,-36.9117146,174.7022303,7007517,48,42,33,27,36,39,Blockhouse Bay
4,3,"26d Roseville Street New Windsor, Auckland",150,999000,-36.9040618,174.7173818,7004665,27,27,21,18,24,12,New Windsor
4,2,"26c Roseville Street New Windsor, Auckland",150,999000,-36.9040618,174.7173818,7004665,27,27,21,18,24,12,New Windsor
3,1,"236 Kaiaraara Bay Road Great Barrier Island, Auckland",5638,580000,-36.1776547,175.3590697,7001130,39,9,18,24,24,42,Great Barrier Island (Aotea Island)
3,2,"91c East Tamaki Road Papatoetoe, Auckland",373,820000,-36.9671685,174.8649469,7008620,45,30,27,21,18,15,Papatoetoe
4,4,"201a St Andrews Road Epsom, Auckland",603,3700000,-36.9020124,174.7612856,7005467,36,15,6,21,18,30,Epsom
5,2,"22 Landscape Road, Auckland",1203 m²,660000,-36.9005066,174.7601404,7005467,36,15,6,21,18,30,Mount Eden
3,3,"209D St Andrews Road, Auckland",541 m²,1600000,-36.9017294,174.7606182,7005467,36,15,6,21,18,30,Epsom
4,2,"4 Ross Place Opaheke, Auckland",718,850000,-37.0756141,174.9473467,7010134,54,18,24,33,30,51,Opaheke
6,4,"21 Armadale Road Remuera, Auckland",1284,4400000,-36.8831455,174.7933358,7005859,30,30,3,15,15,18,Remuera
2,2,"8 Tawa Street Oneroa, Auckland",1232,1850000,-36.7860353,175.0185042,7003344,21,9,12,21,18,48,Oneroa
4,3,"24 Aldred Road Remuera, Auckland",928,3550000,-36.8737798,174.7963636,7005837,66,12,3,33,45,36,Remuera
3,1,"1/57 Kelvin Road Papakura, Auckland",90,540000,-37.0637794,174.9590698,7010192,81,48,45,27,30,27,Papakura
4,2,"21 Silkwood Grove Totara Heights, Auckland",872,900000,-36.9978874,174.9029335,7009748,45,36,24,24,39,42,Totara Heights
4,2,"19 Roadley Avenue Sunnyhills, Auckland",782,1550000,-36.9001872,174.8813948,7006690,42,12,12,27,27,27,Sunnyhills
4,3,"11 Fort Lincoln Loop Karaka, Auckland",309,920000,-37.0817356,174.902696,7009834,21,0,6,21,12,15,Karaka
5,3,"1 Tuangi Street Long Bay, Auckland",480,1500000,-36.6902805,174.7422363,7002020,57,24,36,30,30,24,Long Bay
5,3,"9 Tuangi Street Long Bay, Auckland",465,1450000,-36.6903871,174.7420748,7002020,57,24,36,30,30,24,Long Bay
5,4,"9 Ngaio Street Orakei, Auckland",488,610000,-36.8591469,174.8140562,7006054,24,15,18,18,18,33,Orakei
1,1,"108 Hill Road Palm Beach, Auckland",4737,710000,-36.7852451,175.0419922,7003365,27,9,18,18,24,48,Palm Beach
3,1,"34 Regent Street Papatoetoe, Auckland",1464,1175000,-36.9798783,174.8691556,7008659,51,39,30,21,21,30,Papatoetoe
4,2,"24 Lemonwood Place The Gardens, Auckland",1019,1000000,-37.0098989,174.9140007,7009843,45,27,21,21,42,42,The Gardens
4,2,"25 Kuripaka Crescent The Gardens, Auckland",771,1030000,-37.0094625,174.9125187,7009843,45,27,21,21,42,42,The Gardens
3,2,"7 Phoenix Place Papatoetoe, Auckland",874,840000,-36.9746697,174.8392213,7008422,39,30,30,9,9,9,Papatoetoe
4,2,"15 Gulf Harbour Drive Gulf Harbour, Auckland",1061,1025000,-36.6100686,174.7851749,7001688,45,12,15,27,30,51,Gulf Harbour
3,2,"4 Portobello Place Torbay, Auckland",985,1125000,-36.6990528,174.7298974,7001939,51,36,24,42,30,18,Torbay
5,3,"93 Popes Road Takanini, Auckland",20226,2975000,-37.0289728,174.9313296,7010010,51,24,21,18,27,30,Takanini
3,1,"42 Clifton Road Herne Bay, Auckland",1292,5200000,-36.8455501,174.7296588,7004702,45,9,12,33,30,24,Herne Bay
4,2,"35 Sunnyside Road Sunnyvale, Auckland",2861,1250000,-36.8978289,174.6356813,7004025,42,33,27,21,15,15,Sunnyvale
2,1,"10/10 Gerard Way St Johns, Auckland",104,800000,-36.8748599,174.8301089,7006208,12,12,9,9,12,90,Saint Johns
3,2,"64 Wattle Farm Road Wattle Downs, Auckland",619,860000,-37.0439703,174.8906819,7009712,27,6,15,15,9,30,Wattle Downs
3,1,"4/38 Hall Avenue Otahuhu, Auckland",70,475000,-36.9459073,174.8425462,7008371,57,36,39,27,30,39,Otahuhu
3,2,"3 Maynard Place Mangere Bridge, Auckland",905,1175000,-36.945839,174.7786407,7007832,42,21,33,27,21,36,Mangere Bridge
3,2,"192 Orakei Road Remuera, Auckland",238,3375000,-36.8682435,174.8053692,7005964,27,15,3,12,24,30,Remuera
5,4,"Lot 1/78 Mahia Road Manurewa, Auckland",274,1050000,-37.0381358,174.888505,7009698,102,24,27,21,9,15,Wattle Downs
3,2,"93 Beaumonts Way Manurewa, Auckland",714,640000,-37.0284281,174.9010774,7009799,36,36,24,18,9,21,Manurewa
3,2,"93 Beaumonts Way Manurewa, Auckland",714,640000,-37.0284281,174.9010774,7009799,36,36,24,18,9,21,Manurewa
3,1,"51 Beaumonts Way Manurewa, Auckland",675,580000,-37.0278558,174.9005844,7009799,36,36,24,18,9,21,Manurewa
3,1,"4 Anson Place St Johns, Auckland",607,1060000,-36.8746381,174.8487666,7006443,51,30,45,30,21,27,Saint Johns
6,3,"60 Tironui Road Takanini, Auckland",515,810000,-37.053133,174.9336381,7010041,84,45,21,21,21,33,Takanini
5,3,"68a John Walker Drive Manurewa, Auckland",208,350000,-37.0312948,174.8722419,7009479,69,30,24,15,18,9,Manurewa
4,2,"54 Godden Crescent Mission Bay, Auckland",382,2450000,-36.8587355,174.8300794,7006179,36,15,12,15,30,27,Mission Bay
3,1,"2/87a Woodglen Road Glen Eden, Auckland",100,640000,-36.9163925,174.6425663,7007193,60,24,33,30,21,12,Glen Eden
3,1,"23 Edinburgh Street Tuakau, Auckland",245,690000,-37.2650209,174.9412405,7010987,75,30,21,18,9,9,Tuakau
3,1,"2/22 Sturdee Road Manurewa, Auckland",80,510000,-37.0140865,174.8849692,7009645,54,33,24,15,21,21,Manurewa
5,3,"736a Remuera Road Remuera, Auckland",575,2575000,-36.8782757,174.8215358,7006083,39,18,27,21,21,33,Remuera
5,3,"12b Waiatarua Road Remuera, Auckland",698,2100000,-36.8778505,174.8216048,7006083,39,18,27,21,21,33,Remuera
4,3,"4 Brownlee Place Pukekohe, Auckland",555,800000,-37.1911305,174.9089261,7010523,63,27,36,21,18,12,Pukekohe
3,1,"4 St James Avenue Helensville, Auckland",600,680000,-36.6858441,174.4511236,7001747,69,24,30,30,21,60,Helensville
3,1,"74 Frank Grey Place Otahuhu, Auckland",139,600000,-36.9418883,174.8549182,7008472,57,24,21,15,27,30,Otahuhu
5,3,"23 Quedley Court Bucklands Beach, Auckland",750,3430000,-36.8768054,174.9147934,7006879,48,30,9,27,39,24,Eastern Beach
5,2,"31 Selbourne Street Grey Lynn, Auckland",490,2325000,-36.8624487,174.7366573,7004924,57,24,36,33,18,24,Grey Lynn
4,2,"52 Polo Prince Drive Alfriston, Auckland",6024,1575000,-37.0061204,174.9276808,7009943,24,15,21,9,24,21,Totara Park
5,3,"3 Chilton Place Mellons Bay, Auckland",825,2475000,-36.8914695,174.9251238,7006948,39,18,15,12,36,39,Howick
3,1,"30 Koromiko Street New Lynn, Auckland",451,760000,-36.9003586,174.6731599,7004283,39,36,30,24,24,33,New Lynn
4,2,"17 Mcinnes Road Weymouth, Auckland",845,670000,-37.0493626,174.8609495,7009527,60,21,30,9,18,27,Weymouth
4,3,"44a Bassett Road Remuera, Auckland",1199,3275000,-36.8720329,174.7847161,7005726,36,18,6,15,24,30,Remuera
4,2,"6 Kesteven Avenue Glendowie, Auckland",181,2100000,-36.8590278,174.8653767,7006500,42,12,12,24,24,15,Glendowie
4,3,"1/53 Disraeli Street Epsom, Auckland",162,1600000,-36.8867384,174.7658027,7005433,54,54,21,30,27,39,Epsom
4,3,"23 Admiralty Rise Gulf Harbour, Auckland",773,400000,-36.6083582,174.7873188,7001687,39,21,15,27,27,39,Gulf Harbour
5,3,"23 Redvale Rise Albany, Auckland",8573,1725000,-36.6816528,174.6953589,7001813,51,27,12,30,45,30,Redvale
4,2,"21b Kahia Lane Dairy Flat, Auckland",4000,2275000,-36.6864257,174.6904333,7001813,51,27,12,30,45,30,Redvale
3,2,"974 Kahikatea Flat Road Waitoki, Auckland",954,1075000,-36.6348536,174.5530938,7001392,42,33,24,27,27,30,Waitoki
5,3,"67 Sapwood Crescent Takanini, Auckland",345,480000,-37.0426903,174.9515273,7010094,12,9,3,6,3,3,Takanini
4,3,"3 Black Beech Crescent Takanini, Auckland",385,790000,-37.0413243,174.9495094,7010094,12,9,3,6,3,3,Takanini
2,1,"38 Hamon Avenue Mount Roskill, Auckland",754,1300000,-36.902073,174.7507925,7005243,57,33,39,24,15,18,Mount Roskill
2,2,"46d Tohunga Crescent Parnell, Auckland",598,2100000,-36.858635,174.7877974,7005665,27,24,9,12,21,36,Parnell
4,2,"13 Taihiki Road Clarks Beach, Auckland",792,780000,-37.1366712,174.6983814,7010292,42,9,21,18,21,51,Clarks Beach
2,2,"20 Kennedy Point Road Surfdale, Auckland",959,1700000,-36.8099488,175.0220949,7003348,21,3,9,18,18,45,Surfdale
3,1,"70 Kiwi Esplanade Mangere Bridge, Auckland",756,1845000,-36.9412992,174.7691481,7007834,24,6,6,12,18,39,Mangere Bridge
5,3,"2 Seventh View Avenue Beachlands, Auckland",750,1250000,-36.8888495,174.9983924,7007052,126,51,66,72,42,48,Beachlands
1,1,"3 Miami Avenue Surfdale, Auckland",809,740000,-36.7931353,175.0260068,7003359,36,27,15,24,33,45,Surfdale
2,1,"1a Lannan Road Surfdale, Auckland",1421,860000,-36.7891259,175.0228603,7003357,33,18,27,15,30,39,Surfdale
3,2,"10 Goudie Road Helensville, Auckland",22240,1075000,-36.6888496,174.3881961,7001262,45,12,15,27,27,39,Helensville
4,2,"27 Scotts Road Manurewa, Auckland",809,680000,-37.0233245,174.9085721,7009888,57,30,18,18,18,15,Manurewa East
1,1,"14 Te Rangitawhiri Road Great Barrier Island, Auckland",2141,740000,-36.1972824,175.4169211,7001131,27,6,6,18,39,60,
5,3,"349 Blind Bay Road Great Barrier Island, Auckland",3953,920000,-36.2578952,175.4364476,7001131,27,6,6,18,39,60,Great Barrier Island (Aotea Island)
3,2,"5b Charlenne Close Ranui, Auckland",291,700000,-36.8690143,174.6066264,7003568,84,51,45,36,30,36,Ranui
4,1,"37a Earlsworth Road Mangere, Auckland",343,630000,-36.9673457,174.8340787,7008270,75,51,39,24,30,27,Mangere East
5,6,"259 St Heliers Bay Road St Heliers, Auckland",2268,6600000,-36.8639251,174.8532993,7006423,39,18,15,21,39,30,St Heliers
4,3,"35b Park Road Glenfield, Auckland",400,450000,-36.7912775,174.7189432,7002649,60,30,33,36,15,27,Glenfield
3,2,"Lot 3/16 Romney Place Manurewa, Auckland",200,570000,-37.019332,174.8739419,7009554,66,33,33,24,21,21,Manurewa
3,1,"22 Ivon Road Otara, Auckland",739,540000,-36.9655974,174.8862086,7008860,69,45,30,24,15,30,Otara
2,1,"3/1 Plunket Avenue Papatoetoe, Auckland",61,480000,-36.9874293,174.8611939,7009439,39,30,30,18,24,15,Papatoetoe
4,3,"300a Kohimarama Road Kohimarama, Auckland",601,1850000,-36.8643558,174.8439233,7006309,63,24,27,42,39,42,St Heliers
3,2,"29 Marau Crescent Mission Bay, Auckland",171,2250000,-36.8493717,174.8326149,7006272,18,12,9,9,21,51,Mission Bay
5,3,"31 Marau Crescent Mission Bay, Auckland",283,2600000,-36.8493109,174.8328969,7006272,18,12,9,9,21,51,Mission Bay
5,3,"Dairy Flat  Rodney  0794 Dairy Flat, Auckland",323,2100000,-36.6664831,174.6389587,7001769,39,21,18,30,24,30,Dairy Flat
4,3,"11 Musson Drive Waiheke Island, Auckland",240,1975000,-36.8115438,175.0832685,7003389,30,9,18,27,39,42,Waiheke Island
4,5,"379a Gordons Road Waiheke Island, Auckland",641,6400000,-36.8290569,175.0742834,7003389,30,9,18,27,39,42,Waiheke Island
2,1,"22 Ridge Road Oneroa, Auckland",922,960000,-36.7854027,175.0075094,7003340,39,18,33,30,48,63,Oneroa
3,1,"12 Roseman Avenue Mount Roskill, Auckland",792,1105000,-36.913749,174.7353069,7007657,63,42,30,21,24,24,Mount Roskill
5,2,"55 Edgewater Parade Waiuku, Auckland",679,690000,-37.2437086,174.7273132,7010407,36,15,21,21,21,36,Waiuku
2,1,"4/166 Puhinui Road Papatoetoe, Auckland",67,530000,-36.9878469,174.8600802,7009438,36,27,24,15,21,12,Papatoetoe
4,1,"24 Bates Road Papakura, Auckland",1222,610000,-37.0675883,174.9563647,7010200,81,30,12,18,18,9,Papakura
6,3,"28 Westerley Place Long Bay, Auckland",708,1625000,-36.6917707,174.7427745,7001930,78,48,54,39,36,45,Long Bay
4,2,"Lot 2/44 Earlsworth Road Mangere, Auckland",313,1325000,-36.9676691,174.8347424,7008271,87,39,54,33,30,30,Mangere East
7,3,"70 Waldorf Crescent Orewa, Auckland",1276,2100000,-36.580704,174.6770554,7001431,42,30,9,24,30,42,Orewa
6,4,"410 Pukapuka Road Mahurangi, Auckland",607,6200000,-36.4745734,174.6934152,7001299,27,15,15,21,27,33,Pohuehue
2,2,"Parnell  Auckland City  1052 Parnell, Auckland",598,2025000,-36.8590062,174.7829378,7005692,18,21,24,15,15,27,Parnell
6,4,"64 Okura River Road Okura, Auckland",384,5700000,-36.6763993,174.7214825,7001866,15,6,12,3,15,6,Okura
3,1,"Lot 2/80 Reelick Avenue Pakuranga, Auckland",570,1950000,-36.9158546,174.8957653,7006765,42,15,27,21,15,27,Pakuranga Heights
5,3,"15a Wilmay Avenue Papatoetoe, Auckland",252,930000,-36.9758639,174.8577844,7008548,30,60,24,12,12,18,Papatoetoe
3,3,"9a Luplau Crescent Cockle Bay, Auckland",1024,1300000,-36.8954544,174.9395299,7006998,36,9,12,18,21,36,Cockle Bay
1,1,"841 Beach Road Browns Bay, Auckland",675,970000,-36.7104447,174.7455523,7002061,27,27,21,15,42,60,Browns Bay
4,2,"109 Luckens Road West Harbour, Auckland",726,1100000,-36.8204815,174.6343895,7003913,57,27,27,18,21,18,West Harbour
4,2,"143 Annett Road Kumeu, Auckland",244,1625000,-36.801925,174.4992616,7002160,48,12,12,24,39,30,Kumeu
3,1,"3a Farrelly Avenue Mount Roskill, Auckland",100,880000,-36.9023108,174.7287314,7004832,36,30,15,12,24,12,Wesley
3,1,"777 Sandringham Rd Extension, Auckland",961 m²,1725000,-36.9016281,174.7299846,7004832,36,30,15,12,24,12,Wesley
4,3,"34 Cliff Road Torbay, Auckland",1265,4110000,-36.6932175,174.7575555,7002104,30,24,12,18,36,54,Torbay
2,1,"81 Goodall Street Hillsborough, Auckland",1738,1400000,-36.9285774,174.7582314,7007781,45,21,18,18,27,36,Hillsborough
3,2,"29a Combes Road Remuera, Auckland",236,1550000,-36.8735442,174.801453,7005847,27,33,24,18,27,18,Remuera
3,2,"64a Christmas Road Manurewa, Auckland",260,610000,-37.0300709,174.8998782,7009802,60,48,33,27,21,18,Manurewa
3,1,"28 Frank Street Oneroa, Auckland",1151,920000,-36.7857182,175.0278159,7003353,30,30,30,33,21,45,Oneroa
4,3,"Lot 4/2 Wyman Place Pakuranga, Auckland",163,645000,-36.9081354,174.8899885,7008790,54,36,33,18,18,15,Pakuranga Heights
3,2,"69 Wainui Road Silverdale, Auckland",532,1300000,-36.6150797,174.6750308,7001459,0,0,0,0,0,0,Silverdale
4,2,"122 Pulham Road Warkworth, Auckland",1513,890000,-36.409687,174.6729053,7001308,42,15,9,21,15,27,Warkworth
2,1,"114 Trig Hill Road Onetangi, Auckland",806,580000,-36.7988192,175.0872079,7003394,42,9,18,21,27,42,Onetangi
17,8,"Sandringham  Auckland City  1025 Sandringham, Auckland",1596,760000,-36.8836131,174.7388892,7004981,21,21,18,21,9,12,Sandringham
4,2,"5 Henderson Valley Road Henderson Valley, Auckland",1143,875000,-36.8800363,174.6284291,7003883,36,15,21,15,24,30,Henderson
5,3,"1/79 Russell Road Manurewa, Auckland",253,890000,-37.0209528,174.8830479,7009650,87,48,36,24,27,15,Manurewa
2,1,"5/80 Awaroa Road Sunnyvale, Auckland",70,815000,-36.8960262,174.6410939,7004018,57,36,39,21,24,24,Sunnyvale
4,3,"9 Toru Street Te Atatu Peninsula, Auckland",812,1484100,-36.8529014,174.6487203,7004092,42,24,24,21,18,9,Te Atatu Peninsula
8,4,"145 Bombay Road Bombay, Auckland",2362,1825000,-37.1861371,174.9915621,7010377,51,9,18,36,27,42,Bombay
1,1,"14a Kea Place Mangere Bridge, Auckland",449,570000,-36.9494292,174.7751889,7007849,45,18,21,24,24,39,Mangere Bridge
4,4,"14b Kea Place Mangere Bridge, Auckland",460,1325000,-36.9494292,174.7751889,7007849,45,18,21,24,24,39,Mangere Bridge
4,2,"Lot 1/71a () Russell Road Manurewa, Auckland",466,1975000,-37.021203,174.8829829,7009561,69,39,45,33,21,39,Manurewa
2,1,"32a Fairlands Avenue Waterview, Auckland",105,990000,-36.883895,174.6970967,7004381,39,42,30,24,21,21,Waterview
4,1,"9 Peace Avenue Mount Wellington, Auckland",1088,810000,-36.9268505,174.8554719,7008455,42,30,15,21,15,27,Mount Wellington
3,2,"19 Tawa Road Te Atatu Peninsula, Auckland",170,670000,-36.8276749,174.6443647,7004043,60,33,33,30,30,30,Te Atatu Peninsula
3,1,"6 Portage Road Papatoetoe, Auckland",1012,820000,-36.9706356,174.843384,7008406,102,63,36,18,21,21,Papatoetoe
